"","Indicator","ParentLocation","Location","FactValueNumeric","SDG"
"SDG3.4_5.42","Crude suicide rates (per 100 000 population)","Europe","Austria",15.53,"SDG3.4_5"
"SDG3.4_5.43","Crude suicide rates (per 100 000 population)","Europe","Estonia",15.73,"SDG3.4_5"
"SDG3.4_5.44","Crude suicide rates (per 100 000 population)","Europe","Republic of Moldova",15.87,"SDG3.4_5"
"SDG3.4_5.45","Crude suicide rates (per 100 000 population)","Europe","Croatia",16.43,"SDG3.4_5"
"SDG3.4_5.46","Crude suicide rates (per 100 000 population)","Africa","Zimbabwe",16.75,"SDG3.4_5"
"SDG3.4_5.47","Crude suicide rates (per 100 000 population)","Western Pacific","Japan",17.49,"SDG3.4_5"
"SDG3.4_5.48","Crude suicide rates (per 100 000 population)","Africa","Botswana",17.76,"SDG3.4_5"
"SDG3.4_5.49","Crude suicide rates (per 100 000 population)","Western Pacific","Vanuatu",18.04,"SDG3.4_5"
"SDG3.4_5.50","Crude suicide rates (per 100 000 population)","Europe","Hungary",18.72,"SDG3.4_5"
"SDG3.4_5.51","Crude suicide rates (per 100 000 population)","Europe","Slovenia",19.05,"SDG3.4_5"
"SDG3.4_5.52","Crude suicide rates (per 100 000 population)","Europe","Belgium",19.27,"SDG3.4_5"
"SDG3.4_5.53","Crude suicide rates (per 100 000 population)","Americas","Honduras",2,"SDG3.4_5"
"SDG3.4_5.54","Crude suicide rates (per 100 000 population)","Americas","Venezuela (Bolivarian Republic of)",2.19,"SDG3.4_5"
"SDG3.4_5.55","Crude suicide rates (per 100 000 population)","Americas","Jamaica",2.23,"SDG3.4_5"
"SDG3.4_5.56","Crude suicide rates (per 100 000 population)","Western Pacific","Philippines",2.24,"SDG3.4_5"
"SDG3.4_5.57","Crude suicide rates (per 100 000 population)","Europe","Turkey",2.28,"SDG3.4_5"
"SDG3.4_5.58","Crude suicide rates (per 100 000 population)","South-East Asia","Indonesia",2.39,"SDG3.4_5"
"SDG3.4_5.59","Crude suicide rates (per 100 000 population)","Africa","Algeria",2.55,"SDG3.4_5"
"SDG3.4_5.60","Crude suicide rates (per 100 000 population)","Western Pacific","Brunei Darussalam",2.56,"SDG3.4_5"
"SDG3.4_5.61","Crude suicide rates (per 100 000 population)","Americas","Peru",2.63,"SDG3.4_5"
"SDG3.4_5.62","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Kuwait",2.63,"SDG3.4_5"
"SDG3.4_5.63","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Lebanon",2.71,"SDG3.4_5"
"SDG3.4_5.64","Crude suicide rates (per 100 000 population)","Western Pacific","Papua New Guinea",2.95,"SDG3.4_5"
"SDG3.4_5.65","Crude suicide rates (per 100 000 population)","Western Pacific","Mongolia",20.08,"SDG3.4_5"
"SDG3.4_5.66","Crude suicide rates (per 100 000 population)","Europe","Montenegro",20.81,"SDG3.4_5"
"SDG3.4_5.67","Crude suicide rates (per 100 000 population)","Americas","Uruguay",21.12,"SDG3.4_5"
"SDG3.4_5.68","Crude suicide rates (per 100 000 population)","Europe","Latvia",21.27,"SDG3.4_5"
"SDG3.4_5.69","Crude suicide rates (per 100 000 population)","Europe","Ukraine",21.35,"SDG3.4_5"
"SDG3.4_5.70","Crude suicide rates (per 100 000 population)","Europe","Kazakhstan",21.74,"SDG3.4_5"
"SDG3.4_5.71","Crude suicide rates (per 100 000 population)","Europe","Belarus",24.19,"SDG3.4_5"
"SDG3.4_5.72","Crude suicide rates (per 100 000 population)","Africa","South Africa",24.44,"SDG3.4_5"
"SDG3.4_5.73","Crude suicide rates (per 100 000 population)","Americas","Suriname",24.44,"SDG3.4_5"
"SDG3.4_5.74","Crude suicide rates (per 100 000 population)","Western Pacific","Micronesia (Federated States of)",26.98,"SDG3.4_5"
"SDG3.4_5.75","Crude suicide rates (per 100 000 population)","Western Pacific","Republic of Korea",27.19,"SDG3.4_5"
"SDG3.4_5.76","Crude suicide rates (per 100 000 population)","Western Pacific","Kiribati",29.51,"SDG3.4_5"
"SDG3.4_5.77","Crude suicide rates (per 100 000 population)","Africa","Mauritania",3.04,"SDG3.4_5"
"SDG3.4_5.78","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Tunisia",3.08,"SDG3.4_5"
"SDG3.4_5.79","Crude suicide rates (per 100 000 population)","South-East Asia","Maldives",3.11,"SDG3.4_5"
"SDG3.4_5.80","Crude suicide rates (per 100 000 population)","South-East Asia","Myanmar",3.19,"SDG3.4_5"
"SDG3.4_5.81","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Egypt",3.2,"SDG3.4_5"
"SDG3.4_5.82","Crude suicide rates (per 100 000 population)","Americas","Panama",3.27,"SDG3.4_5"
"SDG3.4_5.83","Crude suicide rates (per 100 000 population)","South-East Asia","Bangladesh",3.39,"SDG3.4_5"
"SDG3.4_5.84","Crude suicide rates (per 100 000 population)","Americas","Bahamas",3.57,"SDG3.4_5"
"SDG3.4_5.85","Crude suicide rates (per 100 000 population)","South-East Asia","Timor-Leste",3.6,"SDG3.4_5"
"SDG3.4_5.86","Crude suicide rates (per 100 000 population)","Africa","South Sudan",3.65,"SDG3.4_5"
"SDG3.4_5.87","Crude suicide rates (per 100 000 population)","Africa","Nigeria",3.66,"SDG3.4_5"
"SDG3.4_5.88","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Sudan",3.86,"SDG3.4_5"
"SDG3.4_5.89","Crude suicide rates (per 100 000 population)","Europe","Azerbaijan",3.99,"SDG3.4_5"
"SDG3.4_5.90","Crude suicide rates (per 100 000 population)","Europe","Russian Federation",30.99,"SDG3.4_5"
"SDG3.4_5.91","Crude suicide rates (per 100 000 population)","Europe","Lithuania",32.77,"SDG3.4_5"
"SDG3.4_5.92","Crude suicide rates (per 100 000 population)","Africa","Eswatini",32.84,"SDG3.4_5"
"SDG3.4_5.93","Crude suicide rates (per 100 000 population)","Americas","Guyana",37.9,"SDG3.4_5"
"SDG3.4_5.94","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Afghanistan",4.01,"SDG3.4_5"
"SDG3.4_5.95","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Iraq",4.04,"SDG3.4_5"
"SDG3.4_5.96","Crude suicide rates (per 100 000 population)","Western Pacific","Tonga",4.11,"SDG3.4_5"
"SDG3.4_5.97","Crude suicide rates (per 100 000 population)","Africa","Mali",4.21,"SDG3.4_5"
"SDG3.4_5.98","Crude suicide rates (per 100 000 population)","Americas","Colombia",4.23,"SDG3.4_5"
"SDG3.4_5.99","Crude suicide rates (per 100 000 population)","Africa","United Republic of Tanzania",4.24,"SDG3.4_5"
"SDG3.4_5.100","Crude suicide rates (per 100 000 population)","Europe","Tajikistan",4.29,"SDG3.4_5"
"SDG3.4_5.101","Crude suicide rates (per 100 000 population)","Americas","Nicaragua",4.35,"SDG3.4_5"
"SDG3.4_5.102","Crude suicide rates (per 100 000 population)","South-East Asia","Bhutan",4.47,"SDG3.4_5"
"SDG3.4_5.103","Crude suicide rates (per 100 000 population)","Africa","Liberia",4.48,"SDG3.4_5"
"SDG3.4_5.104","Crude suicide rates (per 100 000 population)","Europe","Cyprus",4.63,"SDG3.4_5"
"SDG3.4_5.105","Crude suicide rates (per 100 000 population)","Europe","Greece",4.67,"SDG3.4_5"
"SDG3.4_5.106","Crude suicide rates (per 100 000 population)","Europe","Albania",4.69,"SDG3.4_5"
"SDG3.4_5.107","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Oman",4.72,"SDG3.4_5"
"SDG3.4_5.108","Crude suicide rates (per 100 000 population)","Africa","Uganda",4.74,"SDG3.4_5"
"SDG3.4_5.109","Crude suicide rates (per 100 000 population)","Africa","Gambia",4.9,"SDG3.4_5"
"SDG3.4_5.110","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Libya",4.95,"SDG3.4_5"
"SDG3.4_5.111","Crude suicide rates (per 100 000 population)","Western Pacific","Malaysia",5.06,"SDG3.4_5"
"SDG3.4_5.112","Crude suicide rates (per 100 000 population)","Western Pacific","Cambodia",5.07,"SDG3.4_5"
"SDG3.4_5.113","Crude suicide rates (per 100 000 population)","Europe","Israel",5.2,"SDG3.4_5"
"SDG3.4_5.114","Crude suicide rates (per 100 000 population)","Africa","Niger",5.29,"SDG3.4_5"
"SDG3.4_5.115","Crude suicide rates (per 100 000 population)","Americas","Paraguay",5.29,"SDG3.4_5"
"SDG3.4_5.116","Crude suicide rates (per 100 000 population)","Africa","Kenya",5.43,"SDG3.4_5"
"SDG3.4_5.117","Crude suicide rates (per 100 000 population)","Africa","Ethiopia",5.45,"SDG3.4_5"
"SDG3.4_5.118","Crude suicide rates (per 100 000 population)","Africa","Comoros",5.49,"SDG3.4_5"
"SDG3.4_5.119","Crude suicide rates (per 100 000 population)","Africa","Madagascar",5.51,"SDG3.4_5"
"SDG3.4_5.120","Crude suicide rates (per 100 000 population)","Americas","Mexico",5.56,"SDG3.4_5"
"SDG3.4_5.121","Crude suicide rates (per 100 000 population)","Western Pacific","Lao People's Democratic Republic",5.59,"SDG3.4_5"
"SDG3.4_5.122","Crude suicide rates (per 100 000 population)","Africa","Rwanda",5.66,"SDG3.4_5"
"SDG3.4_5.123","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Yemen",5.71,"SDG3.4_5"
"SDG3.4_5.124","Crude suicide rates (per 100 000 population)","Americas","Guatemala",5.71,"SDG3.4_5"
"SDG3.4_5.125","Crude suicide rates (per 100 000 population)","Europe","Armenia",5.71,"SDG3.4_5"
"SDG3.4_5.126","Crude suicide rates (per 100 000 population)","Americas","El Salvador",5.72,"SDG3.4_5"
"SDG3.4_5.127","Crude suicide rates (per 100 000 population)","Europe","Malta",5.81,"SDG3.4_5"
"SDG3.4_5.128","Crude suicide rates (per 100 000 population)","Americas","Belize",5.84,"SDG3.4_5"
"SDG3.4_5.129","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","United Arab Emirates",5.95,"SDG3.4_5"
"SDG3.4_5.130","Crude suicide rates (per 100 000 population)","Americas","Brazil",5.99,"SDG3.4_5"
"SDG3.4_5.131","Crude suicide rates (per 100 000 population)","Africa","Malawi",6.07,"SDG3.4_5"
"SDG3.4_5.132","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Qatar",6.07,"SDG3.4_5"
"SDG3.4_5.133","Crude suicide rates (per 100 000 population)","Africa","Sierra Leone",6.15,"SDG3.4_5"
"SDG3.4_5.134","Crude suicide rates (per 100 000 population)","Europe","Turkmenistan",6.2,"SDG3.4_5"
"SDG3.4_5.135","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Iran (Islamic Republic of)",6.22,"SDG3.4_5"
"SDG3.4_5.136","Crude suicide rates (per 100 000 population)","Africa","Angola",6.23,"SDG3.4_5"
"SDG3.4_5.137","Crude suicide rates (per 100 000 population)","Africa","Senegal",6.26,"SDG3.4_5"
"SDG3.4_5.138","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Saudi Arabia",6.34,"SDG3.4_5"
"SDG3.4_5.139","Crude suicide rates (per 100 000 population)","Americas","Dominican Republic",6.36,"SDG3.4_5"
"SDG3.4_5.140","Crude suicide rates (per 100 000 population)","Africa","Burundi",6.41,"SDG3.4_5"
"SDG3.4_5.141","Crude suicide rates (per 100 000 population)","Africa","Democratic Republic of the Congo",6.53,"SDG3.4_5"
"SDG3.4_5.142","Crude suicide rates (per 100 000 population)","Europe","Italy",6.57,"SDG3.4_5"
"SDG3.4_5.143","Crude suicide rates (per 100 000 population)","Americas","Bolivia (Plurinational State of)",6.63,"SDG3.4_5"
"SDG3.4_5.144","Crude suicide rates (per 100 000 population)","Africa","Chad",6.65,"SDG3.4_5"
"SDG3.4_5.145","Crude suicide rates (per 100 000 population)","Africa","Congo",6.74,"SDG3.4_5"
"SDG3.4_5.146","Crude suicide rates (per 100 000 population)","Africa","Guinea",7.09,"SDG3.4_5"
"SDG3.4_5.147","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Morocco",7.2,"SDG3.4_5"
"SDG3.4_5.148","Crude suicide rates (per 100 000 population)","Africa","Ghana",7.2,"SDG3.4_5"
"SDG3.4_5.149","Crude suicide rates (per 100 000 population)","Africa","Guinea-Bissau",7.31,"SDG3.4_5"
"SDG3.4_5.150","Crude suicide rates (per 100 000 population)","Americas","Saint Lucia",7.41,"SDG3.4_5"
"SDG3.4_5.151","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Bahrain",7.66,"SDG3.4_5"
"SDG3.4_5.152","Crude suicide rates (per 100 000 population)","Americas","Costa Rica",7.66,"SDG3.4_5"
"SDG3.4_5.153","Crude suicide rates (per 100 000 population)","Western Pacific","Viet Nam",7.69,"SDG3.4_5"
"SDG3.4_5.154","Crude suicide rates (per 100 000 population)","Africa","Burkina Faso",7.84,"SDG3.4_5"
"SDG3.4_5.155","Crude suicide rates (per 100 000 population)","Europe","Spain",7.84,"SDG3.4_5"
"SDG3.4_5.156","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Somalia",7.91,"SDG3.4_5"
"SDG3.4_5.157","Crude suicide rates (per 100 000 population)","Africa","Seychelles",8.02,"SDG3.4_5"
"SDG3.4_5.158","Crude suicide rates (per 100 000 population)","Africa","Benin",8.03,"SDG3.4_5"
"SDG3.4_5.159","Crude suicide rates (per 100 000 population)","Africa","Mauritius",8.09,"SDG3.4_5"
"SDG3.4_5.160","Crude suicide rates (per 100 000 population)","Western Pacific","China",8.16,"SDG3.4_5"
"SDG3.4_5.161","Crude suicide rates (per 100 000 population)","Americas","Argentina",8.27,"SDG3.4_5"
"SDG3.4_5.162","Crude suicide rates (per 100 000 population)","Africa","Zambia",8.46,"SDG3.4_5"
"SDG3.4_5.163","Crude suicide rates (per 100 000 population)","Europe","United Kingdom of Great Britain and Northern Ireland",8.48,"SDG3.4_5"
"SDG3.4_5.164","Crude suicide rates (per 100 000 population)","South-East Asia","Thailand",8.5,"SDG3.4_5"
"SDG3.4_5.165","Crude suicide rates (per 100 000 population)","South-East Asia","Nepal",8.54,"SDG3.4_5"
"SDG3.4_5.166","Crude suicide rates (per 100 000 population)","Europe","Kyrgyzstan",8.62,"SDG3.4_5"
"SDG3.4_5.167","Crude suicide rates (per 100 000 population)","Americas","Ecuador",8.96,"SDG3.4_5"
"SDG3.4_5.168","Crude suicide rates (per 100 000 population)","Africa","Lesotho",87,"SDG3.4_5"
"SDG3.4_5.169","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Pakistan",9.09,"SDG3.4_5"
"SDG3.4_5.170","Crude suicide rates (per 100 000 population)","Western Pacific","Singapore",9.09,"SDG3.4_5"
"SDG3.4_5.171","Crude suicide rates (per 100 000 population)","Europe","Uzbekistan",9.14,"SDG3.4_5"
"SDG3.4_5.172","Crude suicide rates (per 100 000 population)","Africa","Gabon",9.2,"SDG3.4_5"
"SDG3.4_5.173","Crude suicide rates (per 100 000 population)","Africa","Cameroon",9.22,"SDG3.4_5"
"SDG3.4_5.174","Crude suicide rates (per 100 000 population)","Europe","The former Yugoslav Republic of Macedonia",9.25,"SDG3.4_5"
"SDG3.4_5.175","Crude suicide rates (per 100 000 population)","Africa","Equatorial Guinea",9.29,"SDG3.4_5"
"SDG3.4_5.176","Crude suicide rates (per 100 000 population)","Africa","Togo",9.31,"SDG3.4_5"
"SDG3.4_5.177","Crude suicide rates (per 100 000 population)","Eastern Mediterranean","Djibouti",9.32,"SDG3.4_5"
"SDG3.4_5.178","Crude suicide rates (per 100 000 population)","Western Pacific","Fiji",9.42,"SDG3.4_5"
"SDG3.4_5.179","Crude suicide rates (per 100 000 population)","Africa","Côte d’Ivoire",9.57,"SDG3.4_5"
"SDG3.4_5.180","Crude suicide rates (per 100 000 population)","Europe","Bulgaria",9.65,"SDG3.4_5"
"SDG3.4_5.181","Crude suicide rates (per 100 000 population)","Americas","Haiti",9.82,"SDG3.4_5"
"SDG3.4_5.182","Crude suicide rates (per 100 000 population)","Americas","Trinidad and Tobago",9.83,"SDG3.4_5"
"SDG3.4_5.183","Crude suicide rates (per 100 000 population)","Americas","Chile",9.99,"SDG3.4_5"
"SDG3.9_3.1","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Estonia",0.006,"SDG3.9_3"
"SDG3.9_3.2","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Eastern Mediterranean","Qatar",0.008,"SDG3.9_3"
"SDG3.9_3.3","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Eastern Mediterranean","Kuwait",0.012,"SDG3.9_3"
"SDG3.9_3.4","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Latvia",0.021,"SDG3.9_3"
"SDG3.9_3.5","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Slovenia",0.021,"SDG3.9_3"
"SDG3.9_3.6","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Montenegro",0.025,"SDG3.9_3"
"SDG3.9_3.7","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Eastern Mediterranean","United Arab Emirates",0.029,"SDG3.9_3"
"SDG3.9_3.8","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Malta",0.033,"SDG3.9_3"
"SDG3.9_3.9","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Finland",0.036,"SDG3.9_3"
"SDG3.9_3.10","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Greece",0.037,"SDG3.9_3"
"SDG3.9_3.11","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Eastern Mediterranean","Bahrain",0.04,"SDG3.9_3"
"SDG3.9_3.12","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Western Pacific","Brunei Darussalam",0.045,"SDG3.9_3"
"SDG3.9_3.13","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Slovakia",0.045,"SDG3.9_3"
"SDG3.9_3.14","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Eastern Mediterranean","Oman",0.046,"SDG3.9_3"
"SDG3.9_3.15","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Luxembourg",0.049,"SDG3.9_3"
"SDG3.9_3.16","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Belarus",0.052,"SDG3.9_3"
"SDG3.9_3.17","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Western Pacific","Singapore",0.066,"SDG3.9_3"
"SDG3.9_3.18","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","Bahamas",0.069,"SDG3.9_3"
"SDG3.9_3.19","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Ireland",0.074,"SDG3.9_3"
"SDG3.9_3.20","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","The former Yugoslav Republic of Macedonia",0.074,"SDG3.9_3"
"SDG3.9_3.21","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Bosnia and Herzegovina",0.079,"SDG3.9_3"
"SDG3.9_3.22","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Lithuania",0.081,"SDG3.9_3"
"SDG3.9_3.23","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Poland",0.091,"SDG3.9_3"
"SDG3.9_3.24","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Eastern Mediterranean","Saudi Arabia",0.092,"SDG3.9_3"
"SDG3.9_3.25","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Western Pacific","Australia",0.095,"SDG3.9_3"
"SDG3.9_3.26","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Republic of Moldova",0.096,"SDG3.9_3"
"SDG3.9_3.27","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Iceland",0.1,"SDG3.9_3"
"SDG3.9_3.28","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Russian Federation",0.1,"SDG3.9_3"
"SDG3.9_3.29","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","Antigua and Barbuda",0.11,"SDG3.9_3"
"SDG3.9_3.30","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Croatia",0.11,"SDG3.9_3"
"SDG3.9_3.31","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Austria",0.12,"SDG3.9_3"
"SDG3.9_3.32","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Bulgaria",0.13,"SDG3.9_3"
"SDG3.9_3.33","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Italy",0.14,"SDG3.9_3"
"SDG3.9_3.34","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Switzerland",0.14,"SDG3.9_3"
"SDG3.9_3.35","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","Trinidad and Tobago",0.14,"SDG3.9_3"
"SDG3.9_3.36","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Western Pacific","New Zealand",0.15,"SDG3.9_3"
"SDG3.9_3.37","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Portugal",0.15,"SDG3.9_3"
"SDG3.9_3.38","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Spain",0.15,"SDG3.9_3"
"SDG3.9_3.39","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","Barbados",0.16,"SDG3.9_3"
"SDG3.9_3.40","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Albania",0.17,"SDG3.9_3"
"SDG3.9_3.41","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Western Pacific","Japan",0.17,"SDG3.9_3"
"SDG3.9_3.42","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Africa","Seychelles",0.17,"SDG3.9_3"
"SDG3.9_3.43","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Armenia",0.18,"SDG3.9_3"
"SDG3.9_3.44","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Czechia",0.18,"SDG3.9_3"
"SDG3.9_3.45","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Georgia",0.18,"SDG3.9_3"
"SDG3.9_3.46","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","Chile",0.2,"SDG3.9_3"
"SDG3.9_3.47","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","United Kingdom of Great Britain and Northern Ireland",0.2,"SDG3.9_3"
"SDG3.9_3.48","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Norway",0.21,"SDG3.9_3"
"SDG3.9_3.49","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Sweden",0.22,"SDG3.9_3"
"SDG3.9_3.50","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","United States of America",0.23,"SDG3.9_3"
"SDG3.9_3.51","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Hungary",0.24,"SDG3.9_3"
"SDG3.9_3.52","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Netherlands",0.24,"SDG3.9_3"
"SDG3.9_3.53","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Israel",0.25,"SDG3.9_3"
"SDG3.9_3.54","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","France",0.27,"SDG3.9_3"
"SDG3.9_3.55","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Ukraine",0.27,"SDG3.9_3"
"SDG3.9_3.56","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Belgium",0.28,"SDG3.9_3"
"SDG3.9_3.57","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Cyprus",0.28,"SDG3.9_3"
"SDG3.9_3.58","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Turkey",0.3,"SDG3.9_3"
"SDG3.9_3.59","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Denmark",0.31,"SDG3.9_3"
"SDG3.9_3.60","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","South-East Asia","Maldives",0.31,"SDG3.9_3"
"SDG3.9_3.61","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","Grenada",0.34,"SDG3.9_3"
"SDG3.9_3.62","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","Argentina",0.36,"SDG3.9_3"
"SDG3.9_3.63","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Romania",0.36,"SDG3.9_3"
"SDG3.9_3.64","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","Uruguay",0.36,"SDG3.9_3"
"SDG3.9_3.65","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Americas","Canada",0.37,"SDG3.9_3"
"SDG3.9_3.66","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Kazakhstan",0.38,"SDG3.9_3"
"SDG3.9_3.67","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Western Pacific","Malaysia",0.42,"SDG3.9_3"
"SDG3.9_3.68","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Uzbekistan",0.44,"SDG3.9_3"
"SDG3.9_3.69","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Western Pacific","China",0.58,"SDG3.9_3"
"SDG3.9_3.70","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Eastern Mediterranean","Libya",0.58,"SDG3.9_3"
"SDG3.9_3.71","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Europe","Germany",0.59,"SDG3.9_3"
"SDG3.9_3.72","Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)","Africa","Mauritius",0.59,"SDG3.9_3"
